dataset,model,region_id,region_name,average_score,embedding_count
camcan,region_group_lasso,43,17Networks_LH_DefaultB_IPL_1,0.19333333333333333,5
camcan,region_group_lasso,93,17Networks_RH_DefaultB_PFCd_1,0.19522222222222224,5
camcan,region_group_lasso,59,17Networks_RH_SomMotA_3,0.2053333333333333,5
camcan,region_group_lasso,86,17Networks_RH_ContB_PFClv_1,0.21155555555555558,5
camcan,region_group_lasso,9,17Networks_LH_SomMotA_2,0.21444444444444444,5
camcan,region_group_lasso,3,17Networks_LH_VisCent_Striate_1,0.4004444444444445,5
camcan,region_group_lasso,28,17Networks_LH_LimbicB_OFC_1,0.4011111111111111,5
hcp,region_elasticnet,41,17Networks_LH_DefaultB_Temp_1,0.017142857142857144,5
hcp,region_elasticnet,62,17Networks_RH_SomMotB_S2_1,0.017142857142857144,5
hcp,region_elasticnet,66,17Networks_RH_DorsAttnA_ParOcc_1,0.017142857142857144,5
hcp,region_elasticnet,99,17Networks_RH_TempPar_2,0.017142857142857144,5
hcp,region_elasticnet,48,17Networks_LH_DefaultC_Rsp_1,0.019642857142857142,5
hcp,region_elasticnet,73,17Networks_RH_SalVentAttnA_ParMed_1,0.019642857142857142,5
hcp,region_elasticnet,11,17Networks_LH_SomMotB_S2_1,0.022857142857142857,5
hcp,region_elasticnet,17,17Networks_LH_DorsAttnB_PostC_1,0.022857142857142857,5
hcp,region_elasticnet,18,17Networks_LH_DorsAttnB_PostC_2,0.022857142857142857,5
hcp,region_elasticnet,21,17Networks_LH_SalVentAttnA_ParOper_1,0.022857142857142857,5
hcp,region_elasticnet,25,17Networks_LH_SalVentAttnA_FrMed_1,0.022857142857142857,5
hcp,region_elasticnet,42,17Networks_LH_DefaultB_Temp_2,0.022857142857142857,5
hcp,region_elasticnet,75,17Networks_RH_SalVentAttnB_IPL_1,0.022857142857142857,5
hcp,region_elasticnet,91,17Networks_RH_DefaultA_pCunPCC_1,0.022857142857142857,5
hcp,region_elasticnet,39,17Networks_LH_DefaultA_pCunPCC_1,0.023896103896103894,5
hcp,region_elasticnet,74,17Networks_RH_SalVentAttnA_FrMed_1,0.025357142857142856,5
hcp,region_elasticnet,85,17Networks_RH_ContB_PFCld_1,0.025357142857142856,5
hcp,region_elasticnet,76,17Networks_RH_SalVentAttnB_PFCl_1,0.02623376623376623,5
hcp,region_elasticnet,96,17Networks_RH_DefaultC_Rsp_1,0.026857142857142857,5
hcp,region_elasticnet,30,17Networks_LH_LimbicA_TempPole_2,0.027142857142857146,5
hcp,region_elasticnet,26,17Networks_LH_SalVentAttnB_PFCl_1,0.02857142857142857,5
hcp,region_elasticnet,63,17Networks_RH_SomMotB_S2_2,0.02857142857142857,5
hcp,region_elasticnet,36,17Networks_LH_ContC_pCun_2,0.03035714285714286,5
hcp,region_elasticnet,3,17Networks_LH_VisCent_Striate_1,0.03194805194805195,5
hcp,region_elasticnet,81,17Networks_RH_ContA_PFCl_1,0.03194805194805195,5
hcp,region_elasticnet,13,17Networks_LH_SomMotB_Cent_1,0.032857142857142856,5
hcp,region_elasticnet,77,17Networks_RH_SalVentAttnB_PFCmp_1,0.03444805194805195,5
hcp,region_elasticnet,7,17Networks_LH_VisPeri_ExStrSup_1,0.036071428571428574,5
hcp,region_elasticnet,12,17Networks_LH_SomMotB_S2_2,0.03694805194805195,5
hcp,region_elasticnet,90,17Networks_RH_DefaultA_PFCd_1,0.03766233766233766,5
hcp,region_elasticnet,82,17Networks_RH_ContA_PFCl_2,0.03785714285714285,5
hcp,region_elasticnet,33,17Networks_LH_ContA_PFCl_2,0.04057142857142857,5
hcp,region_elasticnet,24,17Networks_LH_SalVentAttnA_ParMed_1,0.04178571428571428,5
hcp,region_elasticnet,95,17Networks_RH_DefaultB_PFCv_2,0.043376623376623374,5
hcp,region_elasticnet,51,17Networks_RH_VisCent_ExStr_1,0.04337662337662338,5
hcp,region_elasticnet,65,17Networks_RH_DorsAttnA_TempOcc_1,0.044415584415584415,5
hcp,region_elasticnet,86,17Networks_RH_ContB_PFClv_1,0.046285714285714284,5
hcp,region_elasticnet,37,17Networks_LH_ContC_Cingp_1,0.04694805194805195,5
hcp,region_elasticnet,71,17Networks_RH_SalVentAttnA_ParOper_1,0.0475,5
hcp,region_elasticnet,54,17Networks_RH_VisPeri_StriCal_1,0.0487012987012987,5
hcp,region_elasticnet,1,17Networks_LH_VisCent_ExStr_1,0.05012987012987012,5
hcp,region_elasticnet,98,17Networks_RH_TempPar_1,0.05012987012987012,5
hcp,region_elasticnet,8,17Networks_LH_SomMotA_1,0.05035714285714286,5
hcp,region_elasticnet,61,17Networks_RH_SomMotB_Aud_1,0.051071428571428566,5
hcp,region_elasticnet,27,17Networks_LH_SalVentAttnB_PFCmp_1,0.05246753246753246,5
hcp,region_elasticnet,57,17Networks_RH_SomMotA_1,0.05246753246753246,5
hcp,region_elasticnet,92,17Networks_RH_DefaultA_PFCm_1,0.05357142857142857,5
hcp,region_elasticnet,20,17Networks_LH_DorsAttnB_FEF_1,0.05387662337662338,5
hcp,region_elasticnet,70,17Networks_RH_DorsAttnB_FEF_1,0.055129870129870126,5
hcp,region_elasticnet,15,17Networks_LH_DorsAttnA_ParOcc_1,0.056467532467532465,5
hcp,region_elasticnet,83,17Networks_RH_ContB_Temp_1,0.05812987012987013,5
hcp,region_elasticnet,46,17Networks_LH_DefaultB_PFCv_1,0.061558441558441555,5
hcp,region_elasticnet,23,17Networks_LH_SalVentAttnA_Ins_2,0.06275324675324676,5
